DATE,M2
1992-01-01,3378.9500000000000000
1992-02-01,3398.7750000000000000
1992-03-01,3403.6000000000000000
1992-04-01,3399.7500000000000000
1992-05-01,3398.9000000000000000
1992-06-01,3394.2200000000000000
1992-07-01,3394.0000000000000000
1992-08-01,3398.0200000000000000
1992-09-01,3410.1250000000000000
1992-10-01,3421.8250000000000000
1992-11-01,3427.1000000000000000
1992-12-01,3425.2000000000000000
1993-01-01,3418.3000000000000000
1993-02-01,3413.8250000000000000
1993-03-01,3411.3200000000000000
1993-04-01,3408.8500000000000000
1993-05-01,3435.9800000000000000
1993-06-01,3442.8000000000000000
1993-07-01,3441.3250000000000000
1993-08-01,3445.3000000000000000
1993-09-01,3451.9500000000000000
1993-10-01,3454.6000000000000000
1993-11-01,3469.0000000000000000
1993-12-01,3475.5500000000000000
1994-01-01,3474.0400000000000000
1994-02-01,3475.7250000000000000
1994-03-01,3480.2250000000000000
1994-04-01,3479.7250000000000000
1994-05-01,3490.8000000000000000
1994-06-01,3479.6750000000000000
1994-07-01,3486.2250000000000000
1994-08-01,3486.9600000000000000
1994-09-01,3486.7500000000000000
1994-10-01,3483.8600000000000000
1994-11-01,3487.0750000000000000
1994-12-01,3487.6750000000000000
1995-01-01,3490.6600000000000000
1995-02-01,3490.1000000000000000
1995-03-01,3491.7750000000000000
1995-04-01,3494.7250000000000000
1995-05-01,3520.9600000000000000
1995-06-01,3547.8000000000000000
1995-07-01,3565.7200000000000000
1995-08-01,3588.3500000000000000
1995-09-01,3600.8500000000000000
1995-10-01,3612.0400000000000000
1995-11-01,3619.6500000000000000
1995-12-01,3627.0250000000000000
1996-01-01,3645.6600000000000000
1996-02-01,3658.8750000000000000
1996-03-01,3684.9000000000000000
1996-04-01,3697.0200000000000000
1996-05-01,3708.9750000000000000
1996-06-01,3719.6250000000000000
1996-07-01,3735.3800000000000000
1996-08-01,3744.4250000000000000
1996-09-01,3752.1000000000000000
1996-10-01,3769.9250000000000000
1996-11-01,3787.1250000000000000
1996-12-01,3808.6400000000000000
1997-01-01,3823.9250000000000000
1997-02-01,3834.7750000000000000
1997-03-01,3849.7400000000000000
1997-04-01,3867.1500000000000000
1997-05-01,3876.8000000000000000
1997-06-01,3894.6000000000000000
1997-07-01,3912.3000000000000000
1997-08-01,3941.8500000000000000
1997-09-01,3962.6000000000000000
1997-10-01,3980.4750000000000000
1997-11-01,4000.2000000000000000
1997-12-01,4020.5600000000000000
1998-01-01,4044.3250000000000000
1998-02-01,4071.9750000000000000
1998-03-01,4102.2600000000000000
1998-04-01,4128.9000000000000000
1998-05-01,4149.1250000000000000
1998-06-01,4172.4000000000000000
1998-07-01,4192.6750000000000000
1998-08-01,4216.4200000000000000
1998-09-01,4256.1750000000000000
1998-10-01,4292.1250000000000000
1998-11-01,4333.5400000000000000
1998-12-01,4363.0000000000000000
1999-01-01,4388.3500000000000000
1999-02-01,4412.7750000000000000
1999-03-01,4420.2800000000000000
1999-04-01,4449.3250000000000000
1999-05-01,4472.5000000000000000
1999-06-01,4496.0250000000000000
1999-07-01,4521.1000000000000000
1999-08-01,4539.6800000000000000
1999-09-01,4555.7250000000000000
1999-10-01,4576.2500000000000000
1999-11-01,4598.9800000000000000
1999-12-01,4624.2750000000000000
2000-01-01,4661.0400000000000000
2000-02-01,4668.6500000000000000
2000-03-01,4694.9750000000000000
2000-04-01,4751.8750000000000000
2000-05-01,4744.1400000000000000
2000-06-01,4759.9750000000000000
2000-07-01,4777.1200000000000000
2000-08-01,4804.2750000000000000
2000-09-01,4838.6250000000000000
2000-10-01,4857.5800000000000000
2000-11-01,4866.5500000000000000
2000-12-01,4903.7500000000000000
2001-01-01,4960.3000000000000000
2001-02-01,4998.5750000000000000
2001-03-01,5053.0250000000000000
